source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,id,consortium_member,confidence
ASC,Tenure Track Assistant Professor,Mississippi State University,Criminal Justice System or Policy,United States,Mississippi,Assistant Professor,Criminal Justice System or Policy,Tenure Track,,,2026-08-14,2026-09-30,,,https://www.msujobs.msstate.edu/,https://www.msujobs.msstate.edu/,473,,0.95
ASC,Assistant Professor in Criminal Justice,UW-Eau Claire,Political Science and Criminal Justice,United States,Wisconsin,Assistant Professor,Criminal Justice,,,,2026-08-12,2026-10-01,,,https://www.uwec.edu/job-postings/10013506,https://www.uwec.edu/job-postings/10013506,476,,0.90
ASC,Assistant Professor of Criminology and Criminal Justice,University of West Florida,Criminal Justice Criminology,United States,Florida,Assistant Professor,Criminal Justice Criminology,,,,2026-08-12,2026-09-10,,109500,https://careers.uwf.edu/jobs/assistant-professor-of-criminal-justice-and-criminology-109500-pensacola-main-campus-florida-united-states,https://careers.uwf.edu/jobs/assistant-professor-of-criminal-justice-and-criminology-109500-pensacola-main-campus-florida-united-states,475,,0.95
ASC,Assistant Professor of Criminology and Criminal Justice,California Lutheran University,Criminology and Criminal Justice,United States,California,Assistant Professor,Criminology and Criminal Justice,,,,2026-08-12,2026-10-04,,,https://apptrkr.com/9758233,https://apptrkr.com/9758233,474,,0.95
TSPA,Data Operations Analyst (AI Data & Safety),Bytedance,,Singapore,Singapore,,Trust & Safety,,,,2026-08-10,,,,https://joinbytedance.com/search/7635862587825785141,https://joinbytedance.com/search/7635862587825785141,507,,0.85
TSPA,Content Quality and Evaluation Specialist – AI Data Service Operations,TikTok,,Vietnam,Ho Chi Minh City,,Trust & Safety,,,,2026-08-10,,,,https://lifeattiktok.com/search/7669736773510465845,https://lifeattiktok.com/search/7669736773510465845,506,,0.85
TSPA,Content Enforcement Quality Assurance,TikTok,,Thailand,Bangkok,,Trust & Safety,,,,2026-08-10,,,,https://lifeattiktok.com/search/7600399268318578949,https://lifeattiktok.com/search/7600399268318578949,505,,0.85
TSPA,Content Quality and Evaluation Specialist – Safety Model Operations,TikTok,,Malaysia,Kuala Lumpur,,Trust & Safety,,,,2026-08-10,,,,https://lifeattiktok.com/search/7633073790776215861,https://lifeattiktok.com/search/7633073790776215861,504,,0.85
TSPA,"Emergency Response Team Lead (APAC), Trust & Safety",TikTok,,Singapore,Singapore,,Trust & Safety,,,,2026-08-10,,,,https://lifeattiktok.com/search/7652299089034299653,https://lifeattiktok.com/search/7652299089034299653,503,,0.95
TSPA,Content Review and Tagging Team Leader,Temu,,Philippines,Manila,,Trust & Safety,,,,2026-08-10,,,,https://www.linkedin.com/jobs/view/4449702026/,https://www.linkedin.com/jobs/view/4449702026/,502,,0.80
