source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,confidence,reason,decision
jobs.ac.uk,Tenure-Track Assistant Professor in Sociology,The University of Hong Kong,Department of Sociology,Hong Kong,Hong Kong,Assistant Professor,Sociology,Permanent,,,2026-07-10,2026-09-08,,Competitive,https://www.jobs.ac.uk/job/DSF280/tenure-track-assistant-professor-in-sociology,https://www.jobs.ac.uk/job/DSF280/tenure-track-assistant-professor-in-sociology,0.30,"Generic sociology role, no clear criminology focus",
jobs.ac.uk,Senior Lecturer in Law,University of Sheffield,School of Law,United Kingdom,Sheffield,Senior Lecturer,Law,Permanent,,,2026-07-27,2026-09-08,GBP,"£61,759 to £80,524",https://www.jobs.ac.uk/job/DSK048/senior-lecturer-in-law,https://www.jobs.ac.uk/job/DSK048/senior-lecturer-in-law,0.35,Generic law position without explicit criminology or criminal justice focus,
TSPA,"Senior Strategist, AI Governance Field Coordination",Future Matters,,United States,"Bay Area, CA; Washington, DC; remote",,AI Governance,,,,2026-08-10,,,,https://careers.future-matters.org/40653,https://careers.future-matters.org/40653,0.50,AI governance focus; may relate to trust & safety but not explicitly stated,
TSPA,"Associate, Strategy and Operations – Dasher Fraud",DoorDash,,United States,"New York, NY; Chicago, IL",,Fraud,,,,2026-08-10,,,,https://job-boards.greenhouse.io/doordashusa/jobs/8077587,https://job-boards.greenhouse.io/doordashusa/jobs/8077587,0.70,Fraud-focused strategy role; platform safety adjacent but entry-level,
TSPA,Business Intelligence Manager,Twitch,,United States,"San Francisco, CA",,Business Intelligence,,,,2026-08-10,,,,https://job-boards.greenhouse.io/twitch/jobs/8600134002,https://job-boards.greenhouse.io/twitch/jobs/8600134002,0.35,TSPA member but BI role lacks explicit trust & safety connection,
TSPA,"Legal Counsel – Content Safety, Product & Privacy",Canva,,Australia,Melbourne VIC,,Content Safety,,,,2026-08-10,,,,https://jobs.smartrecruiters.com/Canva/6000000001170493-legal-counsel-content-safety-product-privacy,https://jobs.smartrecruiters.com/Canva/6000000001170493-legal-counsel-content-safety-product-privacy,0.75,Content safety legal counsel; platform safety adjacent,
TSPA,Policy Specialist,Google,,India,"Hyderabad, Telangana; Gurgaon, Haryana",,Policy,,,,2026-08-10,,,,https://www.google.com/about/careers/applications/jobs/results/78116554922697414-policy-specialist/,https://www.google.com/about/careers/applications/jobs/results/78116554922697414-policy-specialist/,0.40,Generic policy role without explicit trust & safety specification,
TSPA,"Analyst, Law Enforcement Response Team",SpaceXAI,,Singapore,Singapore,,Law Enforcement Response,,,,2026-08-10,,,,https://job-boards.greenhouse.io/xai/jobs/5202550007,https://job-boards.greenhouse.io/xai/jobs/5202550007,0.70,Law enforcement response analyst; trust & safety adjacent,
TSPA,Investigation Associate,Amazon,,India,"Bangalore, KA",,Investigations,,,,2026-08-10,,,,https://www.amazon.jobs/en/jobs/10490562/investigation-associate,https://www.amazon.jobs/en/jobs/10490562/investigation-associate,0.75,Investigation associate for platform safety/fraud,
TSPA,"Risk Manager II, TSI SCI & Res-Q",Amazon,,India,"Hyderabad, TS; Bangalore, KA",,Risk Management,,,,2026-08-10,,,,https://www.amazon.jobs/en/jobs/10489252/risk-manager-ii-tsi-sci-res-q,https://www.amazon.jobs/en/jobs/10489252/risk-manager-ii-tsi-sci-res-q,0.65,Risk manager for trust & safety integrity; focus unclear,
TSPA,"Product Manager, Exceptions Management",Google,,Australia,"Sydney, NSW",,,,,,2026-08-10,,,,https://www.google.com/about/careers/applications/jobs/results/129046656686400198-product-manager/,https://www.google.com/about/careers/applications/jobs/results/129046656686400198-product-manager/,0.35,Generic product manager role without trust & safety specification,
TSPA,"Regional Manager, Regulatory Readiness (APAC)",Meta,,Singapore,Singapore,,Regulatory Readiness,,,,2026-08-10,,,,https://www.metacareers.com/profile/job_details/1427677602772274/,https://www.metacareers.com/profile/job_details/1427677602772274/,0.75,"TSPA member, regulatory readiness role related to trust & safety",
TSPA,Content Review and Tagging Specialist / Team Leader,Temu,,Philippines,Manila,,Trust & Safety,,,,2026-08-10,,,,https://www.linkedin.com/jobs/view/4449392296/,https://www.linkedin.com/jobs/view/4449392296/,0.75,Content review and tagging specialist/team leader,
TSPA,Support Engineer,Thorn,,United States,Remote,,,,,,2026-08-03,,,,https://www.thorn.org/careers/application/?gh_jid=8592619002,https://www.thorn.org/careers/application/?gh_jid=8592619002,0.70,Support engineer at safety-focused organization,
TSPA,"Engagement Manager, AI Risk",Good Impressions,,Global,"California, US to UK time zones; Remote",,AI Risk,,,,2026-08-03,,,,https://www.goodimpressionsmedia.com/jobs/engagement-manager-ai-risk,https://www.goodimpressionsmedia.com/jobs/engagement-manager-ai-risk,0.55,AI risk engagement manager; may relate to trust & safety,
TSPA,GenAI Safety Analyst,Alice,,United States,Remote,,AI Safety,,,,2026-08-03,,,,https://alice.io/positions/position-0f_e64,https://alice.io/positions/position-0f_e64,0.70,GenAI safety analyst; AI safety focused,
TSPA,Compliance Operations Specialist 1,Twilio,,Colombia,Remote,,Compliance,,,,2026-08-03,,,,https://jobs.twilio.com/careers/job/1099553375023,https://jobs.twilio.com/careers/job/1099553375023,0.45,Compliance operations specialist; generic compliance role,
TSPA,"Product Operations Specialist, ADSO Search Model Data",TikTok,,Brazil,São Paulo,,,,,,2026-08-03,,,,https://lifeattiktok.com/search/7556619364734208264,https://lifeattiktok.com/search/7556619364734208264,0.35,Product operations specialist for search model data; generic ops role,
